C;Ursa Minor;16.76615597;82
9.76419511;23.77427792;9.87943268;26.00708498	
9.76419511;23.77427792;9.52867787;22.96806545	
9.52867787;22.96806545;9.41091093;26.18244091	
9.41091093;26.18244091;9.87943268;26.00708498	
9.87943268;26.00708498;10.27816787;23.4173284	
10.27816787;23.4173284;10.3328227;19.84186032
C;Coma Berenices;13.19803407;27.87603769
13.1665415;17.52911621;13.19803407;27.87603769	
13.19803407;27.87603769;12.44897988;28.26861975	
13.19803407;27.87603769;12.44002048;27.26826273	
13.19803407;27.87603769;12.37508865;25.84618178	
13.19803407;27.87603769;12.27237644;23.94542332
C;Leo Minor;10.12381254;35.24469176
9.57038249;36.39761338;10.12381254;35.24469176	
10.12381254;35.24469176;10.43190753;33.79626364	
10.43190753;33.79626364;10.88851107;34.21556641	
10.88851107;34.21556641;10.46474791;36.70747818	
10.46474791;36.70747818;10.12381254;35.24469176
C;Lynx;7.44523915;49.21164489
9.35096077;34.39252592;9.31407426;36.80289763	
9.31407426;36.80289763;9.01128856427015;41.7870715180358	
9.01128856427015;41.7870715180358;8.38059169;43.18837233	
8.38059169;43.18837233;7.44523915;49.21164489	
7.44523915;49.21164489;6.9546107;58.42305973	
6.9546107;58.42305973;6.32705299;59.01090518
C;Camelopardalis;4.90083628;66.34266029
4.95478345;53.75208289;5.05697146;60.44228144	
5.05697146;60.44228144;4.90083628;66.34266029	
4.90083628;66.34266029;7.00106888;76.97744152	
7.00106888;76.97744152;6.3141055;69.3200343	
4.90083628;66.34266029;3.83929883;71.33236777	
3.83929883;71.33236777;3.82535706;65.52600645	
3.82535706;65.52600645;5.05697146;60.44228144	
3.82535706;65.52600645;3.58362095;60.04137677
C;Canes Venatici;12.74991006;39.27857766
12.9338447;38.31824617;12.5625257;41.35676779
C;Cancer;8.72144808;21.46859609
8.2752634;9.18566295;8.7447528;18.15486399	
8.7447528;18.15486399;8.97477693;11.85777198	
8.7447528;18.15486399;8.72144808;21.46859609	
8.72144808;21.46859609;8.7782873;28.76000509
8.2752634;9.18566295;8.20353023;17.64813756	
8.20353023;17.64813756;8.72144808;21.46859609	
C;Gemini;7;24.2
7.75537884;28.02631031;7.59871452;26.89600343	
7.59871452;26.89600343;7.74079682;24.39812929	
7.59871452;26.89600343;7.42879891;27.79828561	
7.59871452;26.89600343;7.33538592;21.98233941	
7.33538592;21.98233941;7.30155744;16.54047526	
7.30155744;16.54047526;6.75484265;12.89605513	
7.33538592;21.98233941;7.06848205;20.57029939	
7.06848205;20.57029939;6.62852842;16.39941482	
7.42879891;27.79828561;7.18566433;30.24528065
7.18566433;30.24528065;7.48516936;31.78407932	
7.48516936;31.78407932;7.57666793;31.88863645	
7.18566433;30.24528065;6.87981668;33.96136985	
7.18566433;30.24528065;6.73220272;25.13115531	
6.73220272;25.13115531;6.48271957;20.2121672	
6.73220272;25.13115531;6.3826642;22.51385027	
6.3826642;22.51385027;6.2479713;22.50682376	
6.2479713;22.50682376;6.06867126;23.26363207
C;Auriga;5.5;37.5
5.27813767;45.99902927;5.99215817;44.94743492	
5.27813767;45.99902927;5.10857473;41.23464074	
5.27813767;45.99902927;5.032815;43.82331397	
5.032815;43.82331397;5.04130001;41.07588953	
5.04130001;41.07588953;5.10857473;41.23464074	
5.10857473;41.23464074;4.94989339;33.16613537	
4.94989339;33.16613537;5.43819386;28.60787346
5.43819386;28.60787346;5.99534393;37.21276409	
5.99534393;37.21276409;5.99215817;44.94743492	
5.99215817;44.94743492;5.99209731;54.28498197	
5.99209731;54.28498197;5.27813767;45.99902927
C;Taurus;4.5;19.2
5.43819386;28.60787346;4.7040843;22.95697545	
4.7040843;22.95697545;4.43844298;22.81369394	
4.43844298;22.81369394;3.79140671;24.10524193	
4.7040843;22.95697545;5.62741229;21.14259299	
5.62741229;21.14259299;4.59866679;16.50976164	
4.59866679;16.50976164;4.47768747;15.8709468	
4.47768747;15.8709468;4.32987052;15.62770031
4.32987052;15.62770031;4.38222981;17.5425843	
4.38222981;17.5425843;4.47692591;19.18052092	
4.47692591;19.18052092;4.42280521;22.29398098	
4.42280521;22.29398098;4.43844298;22.81369394	
4.32987052;15.62770031;4.63594491;12.51087423	
4.63594491;12.51087423;4.59423154;10.16091706	
4.32987052;15.62770031;4.25890144;8.89240989	
4.32987052;15.62770031;4.01133906;12.49037571	
4.01133906;12.49037571;3.45281136;9.7327724
3.45281136;9.7327724;3.51454638;12.93668186	
3.45281136;9.7327724;4.05260466;5.98930909	
3.45281136;9.7327724;3.413566;9.02906504	
3.413566;9.02906504;3.61458859;0.40283316	
C;Perseus;3.5;39.8
3.73864623;32.28827325;3.90219957;31.88365776	
3.90219957;31.88365776;3.98274992;35.79102701	
3.98274992;35.79102701;3.96422809;40.01027315	
3.96422809;40.01027315;3.13614714;40.9556512
3.96422809;40.01027315;3.75323428;42.57854437	
