;;0.91465655;83.70746159;5.59;A4V
36    And;;0.91611663;23.62844595;5.46;K1IV
26Ups1Cas;;0.91672028;58.97279657;4.83;K2III
Lam2Tuc;;0.91674982;-69.52697888;5.45;G7III
;;0.92844562;-7.34703997;5.88;K5III
22Phi3Cet;;0.93375167;-11.26650685;5.35;K4III
28Ups2Cas;;0.94444736;59.18116582;4.62;G8III-IV
27Gam Cas;;0.9451392;60.71674966;2.15;B0IV:evar
37Mu  And;;0.94586046;38.49925513;3.86;A5V
;;0.94637249;60.36284769;5.56;B8V
38Eta And;;0.95345215;23.41775997;4.4;G8III-IV
68    Psc;;0.9639301;28.9922356;5.44;G6III
;;0.97060954;33.95105921;5.99;K0
;;0.97527748;66.35182541;5.97;A0III
Alp Scl;;0.97676274;-29.35746436;4.3;B7IIIp
23Phi4Cet;;0.97885764;-11.37993895;5.62;G7III
;;1.00098532;44.71330426;5.69;B9.5Vn
Xi  Scl;;1.02172928;-38.91664868;5.59;K1III
Sig Scl;;1.04066048;-31.55204219;5.5;A1/A2IV
69Sig Psc;;1.04696849;31.80433674;5.5;B9.5V
;;1.0469977;-46.39733801;5.39;G8III
39    And;;1.04840996;41.34519861;5.95;A5m
71Eps Psc;;1.04907107;7.89007256;4.27;K0III
25    Cet;;1.05072351;-4.83635047;5.4;K0III-IV
;;1.06027988;61.07482982;5.92;F0II
;;1.06733002;52.50230919;5.99;K2
;;1.0720969;61.58024409;5.83;F6V
72    Psc;;1.08481985;14.94600386;5.64;F4II-III
74Psi1Psc;;1.0947021;21.4732162;5.33;A1Vn
74Psi1Psc;;1.09491055;21.46547318;5.55;A0Vn
Bet Phe;;1.10141847;-46.71849042;3.32;G8IIIvar
28    Cet;;1.101425;-9.83936845;5.58;A1V
Iot Tuc;;1.12182573;-61.77526197;5.36;G5III
30    Cet;;1.12947786;-9.78559168;5.71;F7IV
Ups Phe;;1.12995146;-41.48693516;5.21;A3V
79Psi2Psc;;1.13253055;20.73932115;5.56;A3V
41    And;;1.13353292;43.94224107;5.04;A3m
30Mu  Cas;;1.13692251;54.92422766;5.17;G5Vp
80    Psc;;1.13953998;5.6502213;5.51;F0III-IV
Zet Phe;;1.13973891;-55.24583235;3.94;B6V + B0V
;;1.14262436;58.26347937;5.77;B8V
31Eta Cet;Dheneb;1.14312879;-10.181928;3.46;K2III
;;1.14559982;86.25711803;4.24;K2II-III
42Phi And;;1.15836727;47.2418241;4.26;B7III
43Bet And;Mirach;1.16216599;35.62083048;2.07;M0IIIvar
81Psi3Psc;;1.163668;19.6583854;5.57;G0III
44    And;;1.17190197;42.08157668;5.67;F8V
;;1.17206928;25.45803989;5.81;K5III
33    Cet;;1.17598814;2.44570842;5.97;K4III
31    Cas;;1.17757375;68.77868759;5.32;A0Vnn
33The Cas;Marfak;1.18498074;55.14994765;4.34;A7Vvar
82    Psc;;1.18521479;31.42476555;5.15;F0V
45    And;;1.18619138;37.72413814;5.8;B7III-IV
;;1.19042126;64.20272388;5.56;B9.5V
84Chi Psc;;1.19088726;21.03467568;4.66;K0III
83Tau Psc;;1.19432964;30.08972962;4.51;K0III-IV...
32    Cas;;1.19482467;65.01888517;5.57;B9IV
34    Cet;;1.19542848;-2.25102487;5.93;K4III
;;1.20458595;79.67397492;5.6;A3V
;;1.21260197;-37.85640391;5.95;A9IV: (+F/G)
86Zet Psc;;1.22883399;7.57548895;5.21;A7IV
85Phi Psc;;1.22914867;24.58376482;4.67;K0III...
87    Psc;;1.23545783;16.13354221;5.97;B8III
37    Cet;;1.23999082;-7.9235004;5.14;F5V
38    Cet;;1.24699458;-0.97429411;5.7;F5V
Nu  Phe;;1.25293547;-45.53209717;4.97;F8V
Kap Tuc;;1.26263759;-68.87623708;4.25;F6IV
;;1.2699727;71.74384538;5.87;K1V
39    Cet;;1.27676298;-2.5002128;5.42;G5III-IVe
89    Psc;;1.29666224;3.61452038;5.13;A3V
90Ups Psc;;1.3244383;27.26408682;4.74;A3V
42    Cet;;1.33008114;-0.5089949;5.87;A7V...
34Phi Cas;;1.33469935;58.2316161;4.95;F0Ia
91    Psc;;1.35204276;28.73838983;5.23;K5III
46Xi  And;Adhil;1.37233139;45.5287566;4.87;K0III-IV
;;1.39026457;20.4689899;5.97;K5
;;1.39193557;-30.94550599;5.84;M0III
47    And;;1.39459883;37.71499034;5.6;A1m
45The Cet;;1.40040311;-8.18275372;3.6;K0III
;;1.40569025;-6.91466853;5.92;F4V
;;1.4113259;-41.49245885;5.42;K0III
;;1.41813208;-64.3694363;5.92;M0III
46    Cet;;1.42700257;-14.59875437;4.9;K2III
37Del Cas;Ruchbah;1.43016751;60.23540347;2.66;A5Vv SB
36Psi Cas;;1.4321956;68.12994739;4.72;K0III
93Rho Psc;;1.43757739;19.17232096;5.35;F2V:var
;;1.43849971;43.45788606;5.98;F7V
94    Psc;;1.44490194;19.24056476;5.5;K1III
47    Cet;;1.44765455;-13.05653391;5.51;F0V
48Ome And;;1.46085698;45.40695287;4.83;F5IV
Gam Phe;;1.47276157;-43.31772906;3.41;K5II-III
48    Cet;;1.49336117;-21.62934677;5.11;A0V
49    And;;1.501695;47.00737711;5.27;K0III
98Mu  Psc;;1.50303973;6.14393314;4.84;K4III
;;1.50635465;-26.20785462;5.92;K2III
38    Cas;;1.52042181;70.2647886;5.82;F6V
Del Phe;;1.5208282;-49.07307701;3.93;K0III-IV
99Eta Psc;;1.52472051;15.34583101;3.62;G8III
;;1.52868099;-30.28292502;5.79;K0III
;;1.54890337;-36.86518161;5.49;K1/K2III
;;1.55714106;58.32734523;5.69;K0Ib+...
;;1.56187029;-7.02514279;5.75;G2IV
39Chi Cas;;1.56553499;59.23209665;4.68;K0III
;;1.571277;37.23719753;5.9;B9IV
49    Cet;;1.57714483;-15.6763527;5.62;A1V
;;1.58029093;18.46067238;5.9;M2III
;;1.59851811;17.43378965;5.95;F0IV
50    Cet;;1.59971033;-15.40021584;5.41;K1III
Tau Scl;;1.60234141;-29.9074336;5.69;F2V
50Ups And;;1.61332694;41.40638491;4.1;F8V
102Pi  Psc;;1.6183226;12.14151058;5.54;F0V
;;1.62438329;-84.76965017;5.66;K0III
Alp Eri;Achernar;1.62854213;-57.23666007;0.45;B3Vp
;;1.6319389;-82.97528876;5.88;G2V
51    And;;1.6331951;48.62848641;3.59;K3III
;;1.63543436;57.97764488;5.55;G5II
;;1.64097059;-36.5279533;5.94;K0III
40    Cas;;1.64192808;73.04007203;5.28;G8II-IIIvar
;;1.64769661;-21.27547447;5.58;F0V
52Chi And;;1.65583862;44.38612827;5.01;G8III...
105    Psc;;1.66132442;16.40588595;5.98;K2III
;p Eridani;1.66312306;-56.19644067;5.76;K0V
53Tau And;;1.67633449;40.57710624;4.96;B8III
;;1.67765566;43.29776385;5.63;A9IV:
106Nu  Psc;;1.69052987;5.48760445;4.45;K3III
;;1.69423393;30.04713542;5.97;K0III
;;1.69577724;-11.32366816;5.75;F5V+...
;;1.69625436;42.61380692;4.96;G2V
;;1.69665338;-60.78924102;5.7;K2/K3III
;;1.70083755;-36.83226421;5.7;A0V
;;1.70095971;35.24576705;5.63;B9IV-V
Pi  Scl;;1.70240155;-32.32685759;5.25;K1II/III
43    Cas;;1.705679;68.04304624;5.57;A0p SiSr
;;1.7080975;-53.7405747;5.52;F8V
107    Psc;;1.70831938;20.27015091;5.24;K1V
;;1.71208803;-3.69011692;4.98;K3II-III
42    Cas;;1.71548024;70.62255881;5.18;B9V
44    Cas;;1.7221493;60.55137091;5.78;B8IIIn
Phi Per;;1.72767091;50.6887655;4.01;B2Vpe
52Tau Cet;;1.73475762;-15.93955597;3.49;G8V
110Omi Psc;Torcularis Septentrionali;1.75655241;9.15764102;4.26;K0III
Eps Scl;;1.76073734;-25.05243403;5.29;F2IV
;;1.76646271;-5.73322696;5.37;K4III
;;1.76831278;-50.81621317;5.49;M3III
;;1.76837191;-53.52218065;5.04;A1V
;;1.7955734;63.85310111;5.63;K0V
4    Ari;;1.80302852;16.95563093;5.86;B9.5V
;;1.80722884;3.68540364;5.91;G9III
;;1.81078941;37.95293583;5.94;K0III
;;1.81157743;32.68948705;5.78;F8V
53Chi Cet;;1.82644197;-10.68618074;4.66;F3III
1    Ari;;1.83571674;22.2753566;5.83;K1III+...
;;1.84778166;11.0434459;5.92;F2Vw
;;1.84846631;-50.20612713;5.94;A1V
;;1.84919125;51.93369809;5.96;F5V
55Zet Cet;Baten Kaitos;1.85766961;-10.33494526;3.74;K2III
1    Per;;1.86647427;55.14740479;5.53;B1.5V
2    Per;;1.86926501;50.79286359;5.7;B9p...
;;1.88113545;-16.92912351;5.78;F0V
2Alp Tri;Metallah;1.88469439;29.57939727;3.42;F6IV
55    And;;1.88815331;40.72979974;5.42;K1III
5Gam2Ari;Mesarthim;1.892157;19.29409264;3.88;A1p Si
111Xi  Psc;;1.89259348;3.18747844;4.61;K0III SB
Psi Phe;;1.89411658;-46.30244631;4.39;M4III SB
Phi Phe;;1.90612786;-42.49688104;5.12;A3V
45Eps Cas;;1.90657873;63.67014686;3.35;B2pvar
6Bet Ari;Sharatan;1.91065251;20.80829949;2.64;A5V...
Eta2Hyi;;1.91555967;-67.64748114;4.68;G5III
7    Ari;;1.93084223;23.57734317;5.76;K1III
;;1.93179823;37.27780093;5.89;K5III
Chi Eri;;1.93245347;-51.60958673;3.69;G5IV
46Ome Cas;;1.93333438;68.68526545;4.97;B8III
56    And;;1.93589718;37.251804;5.69;G8III...
56    Cet;;1.94448852;-22.52671153;4.92;K3III
;;1.9527758;-47.38529869;4.82;G8III
8Iot Ari;;1.95584261;17.8175894;5.09;K1p...
;;1.9621487;27.8045238;5.84;M2III
9Lam Ari;;1.96549317;23.5960961;4.79;F0V
3    Per;;1.97597211;49.204252;5.7;K0IV
Alp Hyi;Head Of Hydrus;1.97940884;-61.56992444;2.86;F0V
;;1.99322088;21.05860461;5.89;K0III-IV
;;1.99388597;64.62163894;5.29;A0Vn
;;1.99412619;-42.03028941;5.57;K1III
57    Cet;;1.99616341;-20.82457549;5.43;M0/M1III
59Ups Cet;;2.00006244;-21.07777193;3.99;K5/M0III
112    Psc;;2.00250686;3.09763527;5.89;G2IV
;;2.00743662;-8.52382616;5.43;M3III
Pi  For;;2.02077676;-30.00156583;5.34;G8III
Chi Phe;;2.0284451;-44.71339037;5.15;K5III
48    Cas;;2.03265271;70.90704605;4.49;A3IV
113Alp Psc;Alrisha;2.03411128;2.76376048;3.82;A2
4    Per;;2.03835394;54.48754946;4.99;B8III
;;2.04307718;13.47672808;5.97;M2III
52    Cas;;2.04791494;64.90149425;6;A1Vn
3Eps Tri;;2.04943523;33.28415151;5.5;A2V
;;2.04959821;-15.30594985;5.87;K0II/III
53    Cas;;2.05005238;64.39002289;5.59;B8Ib
60    Cet;;2.0532238;0.12845397;5.42;A5III
50    Cas;;2.05727509;72.42123962;3.95;A2V
10    Ari;;2.06090623;25.93544879;5.64;F8IV
;;2.06124567;-4.10336397;5.61;K5Iab:
61    Cet;;2.06336751;-0.34014611;5.96;G5V...
57Gam1And;Almaak;2.06497752;42.32984832;2.1;B8V
Nu  For;;2.07484168;-29.29683966;4.68;B9.5p (Si)
47    Cas;;2.08529261;77.28145654;5.27;F0Vn
49    Cas;;2.09210494;76.11511028;5.22;G8III
12Kap Ari;;2.10942012;22.64840404;5.03;A2m
13Alp Ari;Hamal;2.11952383;23.46277743;2.01;K2III
58    And;;2.1414294;37.85918337;4.78;A5IV-V
;;2.14460574;58.42360489;5.66;A1Ia
;;2.15259206;-43.51647088;5.84;K1III
14    Ari;;2.1570239;25.93997268;4.98;F2III
4Bet Tri;;2.15903358;34.98739204;3;A5III
15    Ari;;2.177095;19.50040351;5.68;M3III
64    Cet;;2.18921181;8.57008262;5.64;G0IV
;;2.18951184;-10.05174603;6;F5V
63    Cet;;2.19328932;-1.82534866;5.94;G9III:
6    Tri;;2.20620108;30.30321507;4.94;F5V comp SB
;;2.21042005;24.16779356;5.96;K0
66    Cet;;2.21314533;-2.3934596;5.65;F8V
17Eta Ari;;2.21332884;21.21098318;5.23;F5V
